year month day hour minute second millisecond direction;
2024 10 12 8 58 59 146.999 warm;
2024 10 12 8 58 59 200.186 warm;
2024 10 12 8 58 59 310.123 warm;
2024 10 12 8 58 59 357.337 warm;
2024 10 12 8 58 59 587.695 warm;
2024 10 12 8 58 59 640.24 warm;
2024 10 12 8 58 59 898.731 warm;
2024 10 12 8 58 59 951.11 warm;
2024 10 12 8 59 0 367.803 warm;
2024 10 12 8 59 0 425.125 warm;
2024 10 12 9 21 3 443.316 warm;
2024 10 12 9 21 3 646.058 warm;
2024 10 12 12 26 38 67.734 warm;
2024 10 12 12 26 38 806.647 warm;
2024 10 12 12 26 38 858.938 warm;
2024 10 12 12 26 39 70.544 warm;
2024 10 12 12 26 39 410.47 warm;
2024 10 12 12 26 39 626.8 warm;
2024 10 12 12 26 39 786.71 warm;
2024 10 12 12 26 40 207.827 warm;
2024 10 12 12 26 40 367.16 warm;
2024 10 12 12 26 45 576.674 cold;
2024 10 12 12 26 49 40.479 cold;
2024 10 12 12 26 52 590.72 cold;
2024 10 12 12 26 53 150.766 cold;
2024 10 12 12 26 53 606.62 cold;
2024 10 12 12 26 54 680.29 cold;
2024 10 12 12 26 55 280.656 cold;
2024 10 12 12 26 59 419.203 warm;
2024 10 12 12 26 59 790.037 warm;
2024 10 12 12 27 0 129.799 warm;
2024 10 12 12 27 0 547.177 warm;
2024 10 12 12 27 0 748.67 warm;
2024 10 12 12 27 0 900.965 warm;
2024 10 12 12 27 1 62.156 warm;
2024 10 12 12 27 1 218.782 warm;
2024 10 12 12 27 1 369.426 warm;
2024 10 12 12 27 1 538.384 warm;
2024 10 12 12 27 1 868.902 warm;
2024 10 12 12 27 2 211.688 warm;
2024 10 12 12 27 2 518.587 warm;
2024 10 12 12 27 4 990.215 cold;
2024 10 12 12 27 5 930.11 warm;
2024 10 12 14 0 58 330.625 warm;
2024 10 12 14 0 58 759.866 warm;
2024 10 12 14 0 59 931.92 warm;
2024 10 12 14 1 0 679.203 warm;
2024 10 12 14 1 0 839.209 warm;
2024 10 12 14 1 9 268.737 warm;
2024 10 12 14 1 16 999.635 warm;
2024 10 12 14 24 8 439.324 cold;
2024 10 12 14 24 9 799.456 cold;
2024 10 12 14 24 10 964.748 cold;
2024 10 12 14 24 14 461.725 cold;
2024 10 12 14 24 16 762.427 cold;
2024 10 12 14 24 18 161.53 cold;
2024 10 12 14 24 19 581.133 cold;
2024 10 12 14 24 20 399.249 cold;
2024 10 12 14 24 21 140.685 cold;
2024 10 12 14 24 21 779.889 cold;
2024 10 12 14 24 22 333.484 cold;
2024 10 12 14 24 22 789.914 cold;
2024 10 12 14 24 23 204.378 cold;
2024 10 12 14 24 23 633.236 cold;
2024 10 12 14 24 24 41.893 cold;
2024 10 12 14 24 24 501.764 cold;
2024 10 12 14 24 27 403.344 warm;
2024 10 12 14 24 27 840.988 warm;
2024 10 12 14 24 28 213.954 warm;
2024 10 12 14 24 28 262.07 warm;
2024 10 12 14 24 28 533.909 warm;
2024 10 12 14 24 28 581.685 warm;
2024 10 12 14 24 28 850.243 warm;
2024 10 12 14 24 29 153.803 warm;
2024 10 12 14 24 30 231.369 warm;
2024 10 12 14 24 30 713.02 warm;
2024 10 12 14 24 31 210.001 warm;
2024 10 12 14 24 31 981.817 warm;
2024 10 12 14 24 32 482.83 warm;
2024 10 12 14 24 32 942.108 warm;
2024 10 12 14 24 33 453.082 warm;
2024 10 12 14 24 34 555.281 cold;
2024 10 12 14 24 35 63.916 cold;
2024 10 12 14 24 35 531.695 cold;
2024 10 12 14 24 35 924.707 cold;
2024 10 12 14 24 36 422.993 cold;
2024 10 12 14 24 36 741.763 cold;
2024 10 12 14 24 37 91.09 cold;
2024 10 12 14 24 37 491.765 cold;
2024 10 12 14 24 37 825.34 cold;
2024 10 12 14 24 38 322.4 cold;
2024 10 12 14 24 38 783.849 cold;
2024 10 12 14 24 41 602.874 warm;
2024 10 12 14 24 42 152.213 warm;
2024 10 12 14 24 42 584.225 warm;
2024 10 12 14 24 43 52.473 warm;
2024 10 12 14 24 43 933.29 warm;
2024 10 12 14 24 44 752.511 warm;
2024 10 12 14 24 45 581.005 warm;
2024 10 12 14 24 45 976.255 warm;
2024 10 12 14 24 46 371.819 warm;
2024 10 12 14 24 46 803.261 warm;
2024 10 12 14 24 47 591.254 warm;
2024 10 12 14 24 47 960.518 warm;
2024 10 12 14 24 48 323.58 warm;
2024 10 12 14 24 49 73.152 cold;
2024 10 12 14 24 49 125.05 cold;
2024 10 12 14 24 49 414.774 cold;
2024 10 12 14 24 49 662.441 cold;
2024 10 12 14 24 49 952.547 cold;
2024 10 12 14 24 50 243.125 cold;
2024 10 12 14 24 50 446.511 cold;
2024 10 12 14 24 50 705.396 warm;
2024 10 12 14 24 50 942.29 cold;
2024 10 12 14 24 51 191.894 cold;
2024 10 12 14 24 51 402.768 cold;
2024 10 12 14 24 51 643.892 cold;
2024 10 12 14 24 52 853.801 cold;
2024 10 12 14 24 53 130.972 cold;
2024 10 12 14 24 53 745.112 cold;
2024 10 12 14 24 54 62.641 cold;
2024 10 12 14 24 55 394.298 warm;
2024 10 12 14 24 55 611.656 warm;
2024 10 12 14 24 55 824.413 cold;
2024 10 12 14 24 56 32.808 warm;
2024 10 12 14 24 56 265.252 cold;
2024 10 12 14 24 56 476.786 warm;
2024 10 12 14 24 56 692.276 cold;
2024 10 12 14 24 56 883.093 warm;
2024 10 12 14 24 57 85.165 warm;
2024 10 12 14 24 57 316.537 warm;
2024 10 12 14 24 57 522.549 warm;
2024 10 12 14 24 57 743.215 warm;
2024 10 12 14 24 57 943.547 warm;
2024 10 12 14 24 58 134.349 warm;
2024 10 12 14 24 58 324.994 warm;
2024 10 12 14 24 58 515.959 warm;
2024 10 12 14 24 59 201.731 warm;
2024 10 12 14 27 32 109.368 warm;
2024 10 12 14 27 33 871.348 warm;
2024 10 12 14 27 37 979.477 warm;
2024 10 12 14 27 38 783.738 warm;
2024 10 12 14 27 39 561.999 warm;
2024 10 12 14 27 40 391.475 warm;
2024 10 12 14 27 41 251.763 warm;
2024 10 12 14 27 42 59.743 warm;
2024 10 12 14 27 42 872.982 warm;
2024 10 12 14 27 43 673.072 warm;
2024 10 12 14 27 43 720.973 warm;
2024 10 12 14 27 44 498.279 warm;
2024 10 12 14 27 44 550.667 warm;
2024 10 12 14 27 45 311.77 warm;
2024 10 12 14 27 46 112.963 warm;
2024 10 12 14 27 46 990.213 warm;
2024 10 12 15 14 47 537.885 warm;
2024 10 12 15 14 47 585.119 warm;
2024 10 12 15 14 48 405.55 warm;
2024 10 12 15 14 48 534.847 warm;
2024 10 12 15 14 48 654.339 warm;
2024 10 12 15 14 48 793.688 warm;
2024 10 12 15 14 48 845.829 warm;
2024 10 12 15 14 49 104.082 warm;
2024 10 12 15 14 49 437.997 warm;
2024 10 12 15 14 49 556.678 warm;
2024 10 12 15 14 49 685.759 warm;
2024 10 12 15 14 49 773.972 warm;
2024 10 12 15 14 49 913.904 warm;
2024 10 12 15 14 50 134.646 warm;
2024 10 12 15 14 50 258.08 warm;
2024 10 12 15 14 50 325.92 warm;
2024 10 12 15 14 50 444.399 warm;
2024 10 12 15 14 50 582.616 warm;
2024 10 12 15 14 50 695.438 warm;
2024 10 12 15 14 50 782.965 warm;
2024 10 12 15 14 51 3.372 warm;
2024 10 12 15 14 51 126.605 warm;
2024 10 12 15 14 51 444.211 warm;
2024 10 12 15 14 51 516.401 warm;
2024 10 12 15 14 51 624.84 warm;
2024 10 12 15 14 51 676.727 warm;
2024 10 12 15 14 53 176.406 cold;
2024 10 12 15 14 53 346.458 cold;
2024 10 12 15 14 53 937.478 cold;
2024 10 12 15 14 54 53.297 cold;
2024 10 12 15 14 54 174.798 cold;
2024 10 12 15 14 54 285.805 cold;
2024 10 12 15 14 54 395.989 cold;
2024 10 12 15 14 54 496.748 cold;
2024 10 12 15 14 54 616.326 cold;
2024 10 12 15 14 54 747.558 cold;
2024 10 12 15 14 54 835.776 cold;
2024 10 12 15 14 54 893.899 cold;
2024 10 12 15 14 54 952.563 cold;
2024 10 12 15 14 55 73.272 cold;
2024 10 12 15 14 55 125.785 cold;
2024 10 12 15 14 55 694.762 warm;
2024 10 12 15 14 56 45.644 warm;
2024 10 12 15 14 56 165.695 warm;
2024 10 12 15 14 56 295.584 warm;
2024 10 12 15 14 56 404.748 warm;
2024 10 12 15 14 56 514.014 warm;
2024 10 12 15 14 56 623.021 warm;
2024 10 12 15 14 56 737.286 warm;
2024 10 12 15 14 56 855.073 warm;
2024 10 12 15 14 56 956.24 warm;
2024 10 12 15 14 57 57.354 warm;
2024 10 12 15 14 57 172.982 warm;
2024 10 12 15 14 57 287.46 warm;
2024 10 12 15 14 57 386.319 warm;
2024 10 12 15 14 57 475.017 warm;
2024 10 12 15 15 9 526.287 warm;
2024 10 12 15 15 9 715.415 warm;
2024 10 12 15 15 10 444.876 cold;
2024 10 12 15 15 10 614.772 cold;
2024 10 12 15 15 10 795.646 cold;
2024 10 12 15 15 10 997.935 cold;
2024 10 12 15 15 11 188.41 warm;
2024 10 12 15 15 11 374.352 warm;
2024 10 12 15 15 11 555.414 warm;
2024 10 12 15 15 11 756.93 cold;
2024 10 12 15 15 12 173.645 warm;
2024 10 12 15 15 12 378.9 warm;
2024 10 12 15 15 13 475.766 cold;
2024 10 12 15 15 13 686.517 cold;
2024 10 12 15 15 13 907.185 cold;
2024 10 12 15 15 14 108.041 cold;
2024 10 12 15 15 14 365.186 cold;
2024 10 12 15 15 14 766.365 cold;
2024 10 12 15 15 15 38.449 cold;
2024 10 12 15 15 15 296.192 cold;
2024 10 12 15 15 15 527.831 cold;
2024 10 12 15 15 20 258.209 warm;
2024 10 12 15 15 20 716.378 warm;
2024 10 12 15 15 21 158.205 warm;
2024 10 12 15 15 25 128.439 warm;
2024 10 12 15 15 25 966.209 warm;
2024 10 12 15 15 26 387.361 warm;
2024 10 12 15 15 26 798.171 cold;
2024 10 12 15 15 27 687.558 warm;
2024 10 12 15 15 28 286.155 warm;
2024 10 12 15 15 30 306.048 cold;
2024 10 12 15 15 30 644.512 cold;
2024 10 12 15 15 31 448.635 cold;
2024 10 12 15 15 31 849.273 cold;
2024 10 12 15 16 52 488.399 warm;
2024 10 12 15 16 57 511.832 cold;
2024 10 12 15 16 57 848.861 cold;
2024 10 12 15 17 17 121.608 cold;
2024 10 12 15 17 18 131.222 cold;
2024 10 12 15 17 19 21.423 cold;
2024 10 12 15 17 19 901.096 cold;
2024 10 12 15 17 20 312.745 cold;
2024 10 12 15 17 20 800.384 cold;
2024 10 12 15 17 21 302.408 cold;
2024 10 12 15 17 51 452.599 cold;
2024 10 12 15 19 32 947.236 warm;
2024 10 12 15 19 32 999.239 warm;
2024 10 12 15 19 33 396.089 warm;
2024 10 12 15 19 33 679.341 warm;
2024 10 12 15 19 34 167.982 warm;
2024 10 12 15 19 34 727.238 warm;
2024 10 12 15 19 34 989.726 warm;
2024 10 12 15 19 35 488.072 warm;
2024 10 12 15 19 35 776.072 warm;
2024 10 12 15 19 36 238.401 warm;
2024 10 12 15 19 36 710.923 warm;
