year month day hour minute second millisecond direction;
2024 10 14 11 21 14 867.252 warm;
2024 10 14 11 21 20 913.396 warm;
2024 10 14 11 21 22 568.529 warm;
2024 10 14 11 21 23 933.275 warm;
2024 10 14 11 21 25 366.187 warm;
2024 10 14 11 21 25 414.708 warm;
2024 10 14 11 21 26 703.963 warm;
2024 10 14 11 21 26 756.327 warm;
2024 10 14 11 21 34 268.074 warm;
2024 10 14 11 21 34 325.841 warm;
2024 10 14 11 21 34 983.875 warm;
2024 10 14 11 21 35 37.513 warm;
2024 10 14 11 21 35 647.128 warm;
2024 10 14 11 21 35 693.627 warm;
2024 10 14 11 21 36 316.213 cold;
2024 10 14 11 21 36 506.692 cold;
2024 10 14 11 22 52 26.656 warm;
2024 10 14 11 22 53 431.148 warm;
2024 10 14 11 22 53 478.318 warm;
2024 10 14 11 22 54 919.381 warm;
2024 10 14 11 22 54 971.276 warm;
2024 10 14 11 22 56 437.506 warm;
2024 10 14 11 22 56 489.632 warm;
2024 10 14 11 42 35 845.073 warm;
2024 10 14 11 42 36 287.473 warm;
2024 10 14 11 42 36 723.891 warm;
2024 10 14 11 42 36 777.19 warm;
2024 10 14 11 42 37 147.448 warm;
2024 10 14 11 42 37 615.835 warm;
2024 10 14 11 42 38 93.396 warm;
2024 10 14 11 42 38 584.971 warm;
2024 10 14 14 40 13 246.502 warm;
2024 10 14 14 40 20 885.627 warm;
2024 10 14 14 40 21 736.466 warm;
2024 10 14 14 40 23 365.19 warm;
2024 10 14 14 40 26 398.328 warm;
2024 10 14 15 26 50 533.748 warm;
2024 10 14 15 26 50 836.073 warm;
2024 10 14 15 26 51 132.265 warm;
2024 10 14 15 26 56 883.35 cold;
2024 10 14 15 26 57 254.493 cold;
2024 10 14 15 26 57 604.214 cold;
2024 10 14 15 26 57 933.46 cold;
2024 10 14 15 26 59 654.487 cold;
2024 10 14 15 27 0 66.132 cold;
2024 10 14 15 27 0 437.29 cold;
2024 10 14 15 27 0 786.346 cold;
2024 10 14 15 27 1 135.422 cold;
2024 10 14 15 27 1 464.471 cold;
2024 10 14 15 27 1 813.472 cold;
2024 10 14 15 27 2 162.503 cold;
2024 10 14 15 27 12 137.727 warm;
2024 10 14 15 27 13 374.212 warm;
2024 10 14 15 27 13 985.042 warm;
2024 10 14 16 32 57 689.106 warm;
2024 10 14 16 32 58 177.6 warm;
2024 10 14 16 33 2 495.44 warm;
