year month day hour minute second millisecond direction;
2024 10 17 9 32 24 202.631 warm;
2024 10 17 9 32 24 603.534 warm;
2024 10 17 9 32 25 3.921 warm;
2024 10 17 9 32 25 55.789 warm;
2024 10 17 9 32 25 374.802 warm;
2024 10 17 9 32 25 426.797 warm;
2024 10 17 9 32 25 745.616 warm;
2024 10 17 9 32 25 802.604 warm;
2024 10 17 9 32 26 104.905 warm;
2024 10 17 9 32 26 151.889 warm;
2024 10 17 9 32 26 485.885 warm;
2024 10 17 9 32 26 543.148 warm;
2024 10 17 9 32 41 652.322 warm;
2024 10 17 9 32 43 105.074 cold;
2024 10 17 9 37 29 306.568 warm;
2024 10 17 9 37 29 914.943 warm;
2024 10 17 9 37 30 346.081 warm;
2024 10 17 9 37 30 675.353 warm;
2024 10 17 9 37 30 988.817 warm;
2024 10 17 9 37 31 297.313 warm;
2024 10 17 9 37 31 354.578 warm;
2024 10 17 9 37 31 556.161 warm;
2024 10 17 9 37 31 788.947 warm;
2024 10 17 9 37 31 995.743 warm;
2024 10 17 9 37 32 126.496 warm;
2024 10 17 9 37 32 348.316 warm;
2024 10 17 9 37 32 405.33 warm;
2024 10 17 9 37 32 727.982 warm;
2024 10 17 9 37 33 29.343 warm;
2024 10 17 10 40 20 774.769 warm;
2024 10 17 10 40 21 81.677 warm;
2024 10 17 10 40 21 354.861 warm;
2024 10 17 10 40 21 642.88 warm;
2024 10 17 10 40 22 482.755 warm;
2024 10 17 10 40 22 745.147 warm;
2024 10 17 10 40 23 26.148 warm;
2024 10 17 10 40 27 23.492 warm;
2024 10 17 10 40 27 473.389 warm;
2024 10 17 10 40 28 134.133 warm;
2024 10 17 10 40 28 334.34 warm;
2024 10 17 12 48 4 416.244 warm;
2024 10 17 12 50 5 711.304 cold;
2024 10 17 17 11 45 344.733 warm;
2024 10 17 17 11 48 433.677 warm;
2024 10 17 17 11 50 77.168 warm;
2024 10 17 17 11 50 666.798 cold;
2024 10 17 17 11 52 522.916 warm;
2024 10 17 17 11 53 214.072 warm;
2024 10 17 17 11 54 614.205 warm;
2024 10 17 17 11 55 397.146 warm;
2024 10 17 17 11 55 454.146 warm;
2024 10 17 17 11 55 634.255 warm;
2024 10 17 17 11 55 696.59 warm;
2024 10 17 17 11 55 893.173 cold;
2024 10 17 17 11 55 945.47 warm;
2024 10 17 17 11 56 136.098 warm;
2024 10 17 17 11 56 193.627 warm;
2024 10 17 17 11 56 386.472 warm;
2024 10 17 17 11 56 433.983 warm;
2024 10 17 17 11 56 657.282 warm;
2024 10 17 17 11 56 704.068 warm;
2024 10 17 17 12 16 159.179 cold;
2024 10 17 17 12 16 206.413 cold;
2024 10 17 17 12 16 464.167 cold;
2024 10 17 17 12 16 515.977 cold;
2024 10 17 17 12 16 745.916 cold;
2024 10 17 17 12 16 788.772 cold;
2024 10 17 17 12 17 6.398 cold;
2024 10 17 17 12 17 54.125 cold;
2024 10 17 17 12 17 274.236 cold;
2024 10 17 17 12 17 326.85 cold;
2024 10 17 17 12 17 574.223 cold;
2024 10 17 17 12 17 625.989 cold;
2024 10 17 18 41 51 535.125 warm;
2024 10 17 18 41 51 956.487 warm;
2024 10 17 18 41 52 13.501 warm;
2024 10 17 18 41 52 332.871 warm;
2024 10 17 18 41 52 384.983 warm;
2024 10 17 18 41 52 653.256 warm;
2024 10 17 18 41 52 694.861 warm;
2024 10 17 18 41 52 946.866 warm;
2024 10 17 18 41 52 994.071 warm;
2024 10 17 18 41 53 225.415 warm;
2024 10 17 18 41 53 272.177 warm;
2024 10 17 18 41 53 554.211 warm;
2024 10 17 18 41 53 606.23 warm;
2024 10 17 18 41 53 872.787 warm;
2024 10 17 18 41 53 914.198 warm;
2024 10 17 18 46 13 296.137 cold;
2024 10 17 18 46 13 343.508 cold;
2024 10 17 18 46 13 625.841 cold;
2024 10 17 18 46 13 683.012 cold;
2024 10 17 18 46 13 916.1 cold;
2024 10 17 18 46 13 962.955 cold;
2024 10 17 18 46 14 194.514 cold;
2024 10 17 18 46 14 246.674 cold;
2024 10 17 18 46 14 473.355 cold;
2024 10 17 18 46 14 525.282 cold;
2024 10 17 18 46 14 787.219 cold;
2024 10 17 18 46 14 833.896 cold;
2024 10 17 18 46 15 136.496 cold;
2024 10 17 18 46 19 215.994 warm;
2024 10 17 18 46 19 586.985 warm;
2024 10 17 18 46 19 633.863 warm;
2024 10 17 18 46 19 835.065 warm;
2024 10 17 18 46 20 164.337 warm;
2024 10 17 18 46 20 464.078 warm;
2024 10 17 18 46 20 737.243 warm;
2024 10 17 18 46 21 28.002 warm;
2024 10 17 18 46 21 306.419 warm;
2024 10 17 18 46 21 644.859 warm;
2024 10 17 18 46 21 993.611 warm;
2024 10 17 18 46 22 306.699 warm;
